id,title,description,credits,prerequisites,level,difficulty_rating,career_relevance,topics,semester_offered,professor,department
AD111,Communication in Art and Design - Traditional Media,Explore range of subjects from object still life to human figure to landscape dealing with line value composition structure proportion and perspective.,3,,Freshman,2.5,"Design, Art, Communication","Drawing, Sketching, Traditional Media, Visual Communication",Fall/Spring,TBD,Architecture
AD112,Communication in Art and Design - Digital Media,Digital techniques and modes of expression covering drawing basics and digital modeling and extracted drawing techniques.,3,,Freshman,3.0,"Design, Art, Digital Media","Digital Drawing, 3D Modeling, Digital Representation",Fall/Spring,TBD,Architecture
AD150,Color and Composition,Introduction to principles of 2D composition with emphasis on color use and color theory using traditional and digital media.,3,,Freshman,2.5,"Design, Art, Digital Media","Color Theory, Composition, Digital Graphics, Visual Design",Fall/Spring,TBD,Architecture
AD161,History of Art And Design I,Foundation history course surveying aesthetic/functional themes and theories of the twentieth century.,3,,Freshman,2.0,"Art History, Design History","Art History, Design Theory, Modern Movement, Cultural Studies",Fall,TBD,Architecture
AD162,History of Art And Design II,Explores major art and design movements and influences of 20th century post 1930 through 21st century.,3,AD161,Freshman,2.5,"Art History, Design History","Contemporary Art, Globalization, Technology, Cultural Studies",Spring,TBD,Architecture
AD201,Human Factors/Ergonomics,Explore objects and environments as sensory and psychological experiences affecting human comfort efficiency function and emotion.,3,"Computing Literacy, Scientific Literacy",Sophomore,3.0,"Design, Human Factors, Psychology","Ergonomics, User Experience, Accessibility, Human-Centered Design",Fall/Spring,TBD,Architecture
AD261,History of Architecture,Examines global evolution of built environment focusing on major periods and movements in architecture and urbanism.,3,ARCH381 or AD162,Sophomore,3.0,"Architecture History, Urban Planning","Architectural History, Urban Design, Cultural Studies",Fall/Spring,TBD,Architecture
AD325,Entrepreneurship for Designers,Introduction to entrepreneurship fundamentals within design context including business models branding intellectual property funding strategies.,3,"ENGL102, 200-level History/Humanities",Junior,3.5,"Business, Entrepreneurship, Design","Business Development, Branding, Innovation, Market Strategy",Fall/Spring,TBD,Architecture
AD340,Photography and Imaging,Photography as artistic medium in digital context including digital flash photography image processing camera controls compositional elements.,3,AD150 or ARCH396,Junior,3.0,"Photography, Digital Media","Digital Photography, Image Processing, Visual Communication",Fall/Spring,TBD,Architecture
AD463,Collaborative Design Studio,Interdisciplinary and multi-disciplinary design studio with individual and collaborative team projects integrating different design disciplines.,5,DD364 or ID364 or INT364 or ARCH364 and PHYS102,Senior,4.0,"Collaborative Design, Interdisciplinary Work","Team Projects, Design Integration, Multi-disciplinary Collaboration",Fall/Spring,TBD,Architecture
AD490,Special Topics,Group investigation of problems or topics of special interest in art and design including fine arts industrial design interior design digital design.,3,DD264 or ID264 or INT264 or ARCH363,Senior,3.5,"Design Research, Special Topics","Research Methods, Design Investigation, Specialized Studies",Fall/Spring,TBD,Architecture
ARCH110,Tools and Techniques I: Introduction to Architecture Thinking,Introduction to diverse tools and techniques of architecture thinking through weekly lectures and recitations.,3,,Freshman,2.5,"Architecture Theory, Design Thinking","Architecture Culture, Critical Thinking, Design Methods",Fall,TBD,Architecture
ARCH156,Tools and Techniques II: Introduction to Architecture Making,Introduction to digital tools in delineation fabrication and representation of contemporary design.,3,ARCH161 or ARCH195,Freshman,3.0,"Digital Design, Fabrication","Digital Tools, CAD, Design Representation, Fabrication",Spring,TBD,Architecture
ARCH195,Architecture Studio I,Introduction to fundamental principles and elements of design with emphasis on design methods manipulation of form and space.,4,,Freshman,3.5,"Design Fundamentals, Studio Practice","Design Principles, Form and Space, Design Methods",Fall,TBD,Architecture
ARCH196,Architecture Studio II,Continuation of ARCH195 building on fundamental design principles.,4,ARCH195 or ARCH161,Freshman,3.5,"Design Fundamentals, Studio Practice","Design Development, Spatial Design, Design Process",Spring,TBD,Architecture
ARCH210,History of Architecture I,Examines history of architecture and urbanism from Paleolithic period to Industrialization providing conceptual framework for analysis.,3,ARCH110 and ENGL101,Sophomore,3.0,"Architecture History, Urban Planning","Historical Architecture, Urban Design, Cultural Context",Fall,TBD,Architecture
ARCH211,History of Architecture II,Examines history of architecture and urbanism from eighteenth century to early twenty-first century building on conceptual framework.,3,ARCH210 or ARCH251 and ARCH252,Sophomore,3.0,"Architecture History, Urban Planning","Modern Architecture, Contemporary Design, Global Architecture",Spring,TBD,Architecture
ARCH223,Construction I,Introduction to construction processes focusing on wood steel masonry concrete materials and their related assemblies.,3,,Sophomore,3.5,"Construction, Building Technology","Construction Methods, Building Materials, Structural Systems",Fall,TBD,Architecture
ARCH224,Construction II,Surveys enclosure joints and assemblies including roofing insulation doors windows glass and hybrid systems.,3,ARCH223,Sophomore,3.5,"Construction, Building Technology","Building Enclosure, Building Information Modeling, Construction Documentation",Spring,TBD,Architecture
ARCH295,Architecture Studio III,Examination of technological social and environmental issues as they relate to architectural design.,4,ARCH196 and ARCH110 and ARCH156 or ARCH161 and ARCH164 and ARCH156,Sophomore,4.0,"Environmental Design, Technology","Sustainable Design, Environmental Systems, Technology Integration",Fall,TBD,Architecture
ARCH296,Architecture Studio IV,Continuation of ARCH295 with continued exploration of technology and environmental design.,4,ARCH295 or ARCH263,Sophomore,4.0,"Environmental Design, Technology","Advanced Design, Environmental Integration, Technical Development",Spring,TBD,Architecture
ARCH301,Digital Modeling and Fabrication,Advanced 3-dimensional computer modeling techniques and data export for assembly and fabrication to CNC hardware.,3,ARCH156,Junior,4.0,"Digital Fabrication, Advanced Modeling","NURBS Modeling, CNC Fabrication, Digital Manufacturing, 3D Printing",Fall/Spring,TBD,Architecture
ARCH303,Structures I,Introduction to structural behavior forces and responses in structural systems with static structural analysis.,3,,Junior,3.5,"Structural Engineering, Building Systems","Structural Analysis, Building Structures, Engineering Principles",Fall,TBD,Architecture
ARCH304,Structures II,Examines lateral forces foundations stability deflection long spans and special case structural systems.,3,ARCH303 or ARCH229,Junior,4.0,"Structural Engineering, Advanced Systems","Advanced Structures, Lateral Forces, Foundation Design",Spring,TBD,Architecture
ARCH309,Environmental Control Systems I,Basic principles and applications of passive environmental systems utilizing on-site resources for thermal and visual comfort.,3,PHYS102,Junior,3.5,"Sustainable Design, Environmental Systems","Passive Design, Climate Analysis, Energy Conservation, Daylighting",Fall,TBD,Architecture
ARCH314,Environmental Control Systems II,Understanding relationship between architectural design and active building systems including heating cooling electrical acoustical systems.,3,ARCH309 or ARCH227,Junior,4.0,"Building Systems, Environmental Technology","HVAC Systems, Electrical Systems, Acoustics, Building Performance",Spring,TBD,Architecture
