id,title,description,credits,prerequisites,level,difficulty_rating,career_relevance,topics,semester_offered,professor,department
BME101,Introduction to Biomedical Engineering,Seminar course introducing freshmen to biomedical engineering field and multiple core career paths.,0,None,Freshman,2.0,"Biomedical Engineering Orientation, Career Development","Biomedical Engineering Orientation, Career Development, Professional Development, Engineering Introduction",Fall/Spring,TBD,Biomedical Engineering
BME105,Introduction to Human Physiology I,Introduction to human physiology fundamentals for biomedical engineering students.,2,None,Freshman,3.0,"Human Physiology, Medical Science","Human Physiology, Medical Science, Biological Systems, Anatomy and Physiology",Fall/Spring,TBD,Biomedical Engineering
BME106,Introduction to Human Physiology II,Continuation of human physiology fundamentals for biomedical engineering students.,1,None,Freshman,3.0,"Human Physiology, Medical Science","Human Physiology, Medical Science, Biological Systems, Anatomy and Physiology",Fall/Spring,TBD,Biomedical Engineering
BME111,Introduction to Physiology,Overview of human physiology emphasizing interaction between biomedical and engineering worlds.,3,None,Freshman,3.5,"Human Physiology, Biomedical Engineering","Human Physiology, Biomedical Engineering, Medical Science, Biological Systems",Fall/Spring,TBD,Biomedical Engineering
BME210,Processing Fundamentals for Biological Signals,Introduction to filtering and processing for biologically inspired signals using MATLAB programming.,3,"MATH112 or MATH238 with C",Sophomore,4.0,"Signal Processing, MATLAB Programming","Signal Processing, MATLAB Programming, Digital Signal Processing, Biomedical Signals",Fall/Spring,TBD,Biomedical Engineering
BME301,Electrical Fundamentals of Biomedical Engineering,Bio-electric signals and instrumentation from electrodes to computer processing with hands-on laboratory experience.,3,"PHYS121 and MATH112 with C, FED101 pre/corequisite",Junior,4.5,"Biomedical Instrumentation, Electrical Engineering","Biomedical Instrumentation, Electrical Engineering, Biopotentials, Medical Device Design",Fall/Spring,TBD,Biomedical Engineering
BME302,Mechanical Fundamentals of Biomedical Engineering,Engineering mechanics principles applied to biomechanical issues with integrated lecture and laboratory format.,3,"PHYS121 and MATH112 with C, FED101 pre/corequisite",Junior,4.0,"Biomechanics, Mechanical Engineering","Biomechanics, Mechanical Engineering, Engineering Mechanics, Biomedical Applications",Fall/Spring,TBD,Biomedical Engineering
BME303,Biological and Chemical Foundations of Biomedical Engineering,Organic chemistry biochemistry and cellular mechanics for biomedical engineering applications.,3,"CHEM126 or CHEM122 with C",Junior,4.0,"Biochemistry, Cellular Biology","Biochemistry, Cellular Biology, Organic Chemistry, Biomedical Foundations",Fall/Spring,TBD,Biomedical Engineering
BME304,Material Fundamentals of Biomedical Engineering,Introduction to biomaterials emphasizing wound healing and tissue-biomaterial interface interactions.,3,"CHEM126 or CHEM122 and PHYS111 with C",Junior,4.0,"Biomaterials, Materials Science","Biomaterials, Materials Science, Biocompatibility, Medical Devices",Fall/Spring,TBD,Biomedical Engineering
BME311,Co-op Work Experience,Students gain major-related work experience and academic program reinforcement through cooperative education.,3,"Sophomore standing and departmental approval",Junior,3.0,"Work Experience, Professional Development","Work Experience, Professional Development, Career Skills, Industry Experience",Fall/Spring,TBD,Biomedical Engineering
