id,title,description,credits,prerequisites,level,difficulty_rating,career_relevance,topics,semester_offered,professor,department
CE100,Introduction to Civil Engineering,Introduction to academic and professional domains of civil engineering including industry framework design methodology and computer applications.,1,"ENGL101 and MATH111 or ENGR101 and MATH110",Freshman,2.5,"Civil Engineering Introduction, Professional Development","Civil Engineering Introduction, Professional Development, Engineering Design, Computer Applications",Fall/Spring,TBD,Civil Engineering
CE101,CE Computer Aided Design,Teaching basic tools including AutoCAD software for preparation of Civil Engineering contract documents and engineering drawings.,1,None,Freshman,3.0,"Computer Aided Design, AutoCAD","Computer Aided Design, AutoCAD, Engineering Drawings, Contract Documents",Fall/Spring,TBD,Civil Engineering
CE200,Surveying,Angle and distance measurement leveling topographic mapping traverse and area computations with computer applications.,2,"MATH111 or ENGR101",Sophomore,3.5,"Surveying, Geomatics","Surveying, Geomatics, Topographic Mapping, GPS, Computer Applications",Fall/Spring,TBD,Civil Engineering
CE200A,Surveying Laboratory,Field exercises utilizing classical and electronic instruments and COGO/CAD software for surveying applications.,1,"CE200 corequisite",Sophomore,3.0,"Surveying Laboratory, Field Work","Surveying Laboratory, Field Work, Surveying Instruments, CAD Software",Fall/Spring,TBD,Civil Engineering
CE210,Construction Materials and Procedures,Introduction to construction management organization contracts safety engineering economics and ethics with field trips to construction sites.,3,"ENGL101",Sophomore,3.5,"Construction Management, Building Construction","Construction Management, Building Construction, Construction Safety, Engineering Ethics",Fall/Spring,TBD,Civil Engineering
CE260,Civil Engineering Methods,In-depth experience in computer applications in civil engineering with written and oral communication skills development.,1,"ENGL101 and CE101 and CE200 and CE200A",Sophomore,3.5,"Civil Engineering Methods, Computer Applications","Civil Engineering Methods, Computer Applications, Communication Skills, Technical Writing",Fall/Spring,TBD,Civil Engineering
CE307,Geometric Design for Highways,Highway design based on traffic distribution volume and speed with analysis of intersections and advanced curve work.,3,"CE200 and CE200A",Junior,4.0,"Highway Design, Transportation Engineering","Highway Design, Transportation Engineering, Traffic Analysis, Geometric Design",Fall/Spring,TBD,Civil Engineering
CE311,Co-op Work Experience I,Students gain major-related work experience and academic program reinforcement through cooperative education.,0,"Sophomore year completion and departmental approval",Junior,3.0,"Work Experience, Professional Development","Work Experience, Professional Development, Career Skills, Industry Experience",Fall/Spring,TBD,Civil Engineering
CE320,Fluid Mechanics,Fundamental laws of static and dynamic fluid behavior with applications to water flow in pipe systems and natural channels.,3,"MECH235 with C and MATH112 and PHYS111, MECH236 or MECH238 corequisite",Junior,4.0,"Fluid Mechanics, Hydraulics","Fluid Mechanics, Hydraulics, Pipe Flow, Open Channel Flow",Fall/Spring,TBD,Civil Engineering
CE320A,Hydraulics Laboratory,Exploration of fluid mechanics principles through laboratory experiments with physical and computer models.,1,"CE320 pre/corequisite",Junior,3.5,"Hydraulics Laboratory, Fluid Mechanics Lab","Hydraulics Laboratory, Fluid Mechanics Lab, Experimental Methods, Computer Modeling",Fall/Spring,TBD,Civil Engineering
CE321,Water Resources Engineering,Methods of developing water supplies and treatment for consumptive use including hydrologic techniques and probabilistic methods.,2,"CE200 and CE200A and MATH279 or MATH305",Junior,4.0,"Water Resources, Hydrology","Water Resources, Hydrology, Water Supply, Hydrologic Analysis",Fall/Spring,TBD,Civil Engineering
CE322,Hydraulic Engineering,Design tools for water distribution systems storm drains and sanitary sewers with hydrologic and hydraulic techniques.,3,"CE320 and CE321",Senior,4.0,"Hydraulic Engineering, Water Systems","Hydraulic Engineering, Water Systems, Storm Drainage, Sanitary Sewers",Fall/Spring,TBD,Civil Engineering
CE332,Structural Analysis,Analysis methods for determinate and indeterminate beams frames and trusses encountered in engineering practice.,3,"MECH237 or MECH239 with C",Junior,4.5,"Structural Analysis, Structural Engineering","Structural Analysis, Structural Engineering, Beam Analysis, Frame Analysis",Fall/Spring,TBD,Civil Engineering
CE333,Reinforced Concrete Design,Design of reinforced concrete structural members including beams slabs footings and columns using modern design methods.,2,"CE332",Senior,4.5,"Reinforced Concrete Design, Structural Design","Reinforced Concrete Design, Structural Design, Concrete Structures, Structural Members",Fall/Spring,TBD,Civil Engineering
CE341,Geotechnical Engineering,Study of soil types properties and behavior including subsurface investigation permeability consolidation and shear strength.,3,"MECH237 or MECH239 with C, CE341A corequisite",Junior,4.0,"Geotechnical Engineering, Soil Mechanics","Geotechnical Engineering, Soil Mechanics, Soil Properties, Foundation Engineering",Fall/Spring,TBD,Civil Engineering
CE341A,Geotechnical Engineering Laboratory,Basic experiments in soil mechanics providing hands-on experience with geotechnical testing methods.,1,"CE341 corequisite",Junior,3.5,"Geotechnical Laboratory, Soil Testing","Geotechnical Laboratory, Soil Testing, Experimental Methods, Soil Analysis",Fall/Spring,TBD,Civil Engineering
CE342,Geology,Study of physical geological processes with emphasis on rock and soil formation transformation deformation and mass movement.,3,"Sophomore standing",Sophomore,3.5,"Geology, Earth Sciences","Geology, Earth Sciences, Geological Processes, Rock Formation",Fall/Spring,TBD,Civil Engineering
CE350,Transportation Engineering,Study of principal transportation modes with emphasis on planning design and construction of modern transportation facilities.,3,"CE200 and CE200A",Junior,4.0,"Transportation Engineering, Transportation Planning","Transportation Engineering, Transportation Planning, Transportation Systems, Infrastructure Design",Fall/Spring,TBD,Civil Engineering
CE351,Introduction to Transportation Systems,Advanced study of transportation modes with emphasis on planning design and construction of transportation facilities.,3,"CE200 and CE200A and CE350",Senior,4.0,"Transportation Systems, Advanced Transportation","Transportation Systems, Advanced Transportation, Transportation Planning, Infrastructure Design",Fall/Spring,TBD,Civil Engineering
CE360,Civil Engineering Materials,Engineering materials used in civil engineering projects with fundamentals of sustainability and sustainable design.,2,"CHEM121 or CHEM125 and MECH237 with C",Junior,4.0,"Construction Materials, Sustainable Design","Construction Materials, Sustainable Design, Material Properties, Sustainability",Fall/Spring,TBD,Civil Engineering
CE381,Geomorphology,Study of landforms and contemporary processes that create and modify them with emphasis on earth surface processes and quantitative analysis.,3,None,Junior,4.0,"Geomorphology, Landform Analysis","Geomorphology, Landform Analysis, Earth Surface Processes, Quantitative Analysis",Fall/Spring,TBD,Civil Engineering
CE406,Remote Sensing,Principles of remote sensing including data acquisition procedures data analysis and role in terrain investigations for civil engineering.,3,"PHYS234",Senior,4.0,"Remote Sensing, Geospatial Analysis","Remote Sensing, Geospatial Analysis, Data Acquisition, Terrain Investigation",Fall/Spring,TBD,Civil Engineering
CE410,Construction Scheduling and Estimating,Quantity take off cost estimate and CPM computer analysis of typical building or highway projects with project management.,3,"CE210",Senior,4.0,"Construction Scheduling, Cost Estimating","Construction Scheduling, Cost Estimating, Project Management, CPM Analysis",Fall/Spring,TBD,Civil Engineering
CE412,Construction Codes and Specifications,Code and specification aspects of engineered construction including building codes safety and environmental regulations.,3,"CE210",Senior,4.0,"Construction Codes, Building Regulations","Construction Codes, Building Regulations, Safety Standards, Environmental Compliance",Fall/Spring,TBD,Civil Engineering
CE413,Co-op Work Experience II,Advanced cooperative education providing major-related work experience with seminars and project requirements.,3,"CE311 and departmental approval",Senior,3.0,"Advanced Work Experience, Professional Development","Advanced Work Experience, Professional Development, Career Skills, Industry Experience",Fall/Spring,TBD,Civil Engineering
CE414,Engineered Construction,Design erection and maintenance of temporary structures and procedures used in engineering project construction.,3,"CE210 and CE332 and CE341",Senior,4.5,"Engineered Construction, Temporary Structures","Engineered Construction, Temporary Structures, Construction Methods, Project Management",Fall/Spring,TBD,Civil Engineering
CE417,OSHA in Construction and CE,Comprehensive course on Occupational Safety and Health Act with construction safety requirements and hands-on exercises.,3,"CE210",Senior,4.0,"Construction Safety, OSHA Compliance","Construction Safety, OSHA Compliance, Safety Regulations, Safety Equipment",Fall/Spring,TBD,Civil Engineering
CE431,Construction Materials Laboratory,Understanding basic properties of construction materials with current field and laboratory standards and testing requirements.,1,"CE210 and MECH237 or MECH239 with C",Senior,4.0,"Construction Materials Laboratory, Material Testing","Construction Materials Laboratory, Material Testing, Testing Standards, Quality Control",Fall/Spring,TBD,Civil Engineering
CE432,Steel Design,Development of current design procedures for structural steel elements in multistory buildings bridges and industrial buildings.,2,"CE332",Senior,4.5,"Steel Design, Structural Steel","Steel Design, Structural Steel, Structural Design, Steel Structures",Fall/Spring,TBD,Civil Engineering
CE443,Foundation Engineering Design,Site investigation foundation type selection and design of shallow and deep foundations with earth pressure analysis.,3,"CE341 and CE341A",Senior,4.5,"Foundation Engineering, Foundation Design","Foundation Engineering, Foundation Design, Site Investigation, Retaining Walls",Fall/Spring,TBD,Civil Engineering
CE450,Urban Planning,Introduction to urban planning principles techniques and use including city development new towns and land use planning.,3,"Junior engineering standing",Senior,3.5,"Urban Planning, City Planning","Urban Planning, City Planning, Land Use Planning, Transportation Planning",Fall/Spring,TBD,Civil Engineering
