id,title,description,credits,prerequisites,level,difficulty_rating,career_relevance,topics,semester_offered,professor,department
ENGR203,Introduction to Remote Sensing Science and Technology,Introduction to remote sensing techniques for Earth monitoring including electromagnetic radiation principles and measurement instruments.,3,"Programming course prerequisite",Sophomore,3.5,"Remote Sensing, Earth Monitoring","Remote Sensing, Earth Monitoring, EMR Measurement, Remote Sensing Data",Fall/Spring,TBD,Engineering
ENGR210,Career Planning Seminar for Engineers,Career planning skills for engineering students including resume writing and interview skills in seminar environment.,1,"Sophomore standing",Sophomore,2.5,"Career Planning, Professional Development","Career Planning, Professional Development, Resume Writing, Interview Skills",Fall/Spring,TBD,Engineering
ENGR211,Professional Skills for Engineers I,Career planning and professional skills for engineering students including job search and workplace transition skills.,1,"Engineering students with sophomore or higher standing",Sophomore,2.5,"Professional Skills, Career Development","Professional Skills, Career Development, Job Search, Workplace Skills",Fall/Spring,TBD,Engineering
ENGR215,Raster-based Geographic Information System,Fundamentals of raster data model for geospatial analysis visualization and reporting using GIS operations.,3,"CS100 or CS106 or CS101 or CS115",Sophomore,3.5,"GIS, Geospatial Analysis","GIS, Geospatial Analysis, Raster Data, Cartography",Fall/Spring,TBD,Engineering
ENGR220,Introduction to Manual Machining,Safe operation of manual machining equipment through hands-on activities focusing on subtractive manufacturing.,2,None,Sophomore,3.0,"Manual Machining, Manufacturing","Manual Machining, Manufacturing, Fabrication, Shop Skills",Fall/Spring,TBD,Engineering
ENGR221,Introduction to CNC Machining,Safe operation of CNC machining equipment and CAM software for 2D and 3D part fabrication.,2,"ENGR220",Sophomore,3.5,"CNC Machining, CAM Software","CNC Machining, CAM Software, Manufacturing, Fabrication",Fall/Spring,TBD,Engineering
ENGR222,Introduction to Wood Working,Safe operation of woodworking equipment including band saw table saw and other tools through hands-on activities.,1,None,Sophomore,2.5,"Woodworking, Shop Skills","Woodworking, Shop Skills, Tool Operation, Fabrication",Fall/Spring,TBD,Engineering
ENGR223,Introduction to CNC Routing,Safe operation of CNC router machine and software for 2D and 3D part fabrication.,1,None,Sophomore,3.0,"CNC Routing, Manufacturing","CNC Routing, Manufacturing, CAM Software, Fabrication",Fall/Spring,TBD,Engineering
ENGR224,Introduction to Welding,Fundamental principles and skills for manual welding operations including metallurgy and welding technologies.,1,None,Sophomore,3.0,"Welding, Manufacturing","Welding, Manufacturing, Metallurgy, Fabrication",Fall/Spring,TBD,Engineering
ENGR225,Introduction to Physical Metrology,Fundamental principles of physical metrology and inspection of mechanical components using various instruments.,1,None,Sophomore,3.0,"Metrology, Quality Control","Metrology, Quality Control, Measurement, Inspection",Fall/Spring,TBD,Engineering
ENGR290,Perspectives of the Grand Challenges,Introduction to grand challenges program through faculty colloquia and exploration of engineering solutions.,1,"Sophomore standing and program approval",Sophomore,2.5,"Grand Challenges, Engineering Solutions","Grand Challenges, Engineering Solutions, Societal Impact, Innovation",Fall/Spring,TBD,Engineering
ENGR301,Engineering Applications of Data Science,Application of data science techniques to engineering problems using Python programming and statistical methods.,3,"Programming and statistics prerequisites",Junior,4.0,"Data Science, Engineering Applications","Data Science, Engineering Applications, Python Programming, Machine Learning",Fall/Spring,TBD,Engineering
