id,title,description,credits,prerequisites,level,difficulty_rating,career_relevance,topics,semester_offered,professor,department
ET400,Professional Engineer Preparation,Introduction to PE licensure process including FE exam preparation and EIT certification steps.,3,"Senior standing",Senior,4.0,"Professional Licensure, Career Development","Professional Licensure, Career Development, FE Exam, PE Preparation",Fall/Spring,TBD,Engineering Technology
ET450,Multidisciplinary Capstone Project,Application of engineering technology principles to multidisciplinary or discipline-specific capstone projects.,3,"Senior standing and department approval",Senior,4.5,"Capstone Design, Project Management","Capstone Design, Project Management, Engineering Applications, Technical Writing",Fall/Spring,TBD,Engineering Technology
FED101,Fundamentals of Engineering Design,Introduction to engineering design concepts through open-ended projects and hands-on experiments.,2,"ENGL101 and MATH110/111 pre/corequisite",Freshman,3.0,"Engineering Design, Project-Based Learning","Engineering Design, Project-Based Learning, CAD, Technical Writing",Fall/Spring,TBD,Engineering Fundamentals
GEN301,Applications of Microcontrollers and IoT Devices,Project-based introduction to microcontrollers IoT and robotics applications.,3,"FED101 and programming prerequisite",Junior,4.0,"Microcontrollers, IoT Applications","Microcontrollers, IoT Applications, Robotics, Programming",Fall/Spring,TBD,General Engineering
GEN491,Research Independent Study I,Individual research project under faculty guidance.,3,"Senior standing in general engineering",Senior,4.0,"Independent Research, Project Development","Independent Research, Project Development, Technical Writing, Engineering Research",Fall/Spring,TBD,General Engineering
GEN492,Research Independent Study II,Continuation of independent research project.,3,"GEN491",Senior,4.0,"Advanced Research, Project Completion","Advanced Research, Project Completion, Technical Writing, Research Methods",Fall/Spring,TBD,General Engineering
IE101,Introduction to Industrial Engineering,Introduction to industrial engineering career paths and professional societies.,1,None,Freshman,2.0,"Industrial Engineering, Career Introduction","Industrial Engineering, Career Introduction, Professional Development, IE Functions",Fall/Spring,TBD,Industrial Engineering
IE203,Applications of Computer Graphics in IE,Methods and tools for networked graphical communication systems in industrial engineering.,2,"Sophomore standing",Sophomore,3.0,"Computer Graphics, Visual Communication","Computer Graphics, Visual Communication, Factory Management, Lean Systems",Fall/Spring,TBD,Industrial Engineering
IE224,Production Process Design,Theory and practice of manufacturing processes including fabrication and NC equipment operation.,3,"Sophomore standing",Sophomore,3.5,"Manufacturing Processes, Production Design","Manufacturing Processes, Production Design, NC Equipment, Process Economics",Fall/Spring,TBD,Industrial Engineering
IE310,Co-op Work Experience I,Major-related work experience with academic program reinforcement.,0,"Junior standing and approvals",Junior,3.0,"Work Experience, Professional Development","Work Experience, Professional Development, Industry Practice, Career Skills",Fall/Spring,TBD,Industrial Engineering
IE331,Applied Statistical Methods,Statistical analysis techniques including probability distributions sampling and hypothesis testing.,3,"MATH211",Junior,4.0,"Statistical Analysis, Data Methods","Statistical Analysis, Data Methods, Probability, Industrial Applications",Fall/Spring,TBD,Industrial Engineering
IE334,Engineering Economy and Capital Investment,Principles of engineering economics for capital investment evaluation.,3,"Junior standing",Junior,3.5,"Engineering Economics, Investment Analysis","Engineering Economics, Investment Analysis, Capital Investment, Cost Analysis",Fall/Spring,TBD,Industrial Engineering
IE335,Engineering Cost Analysis and Control,Tools and techniques for cost analysis and control in operations.,3,"Junior standing",Junior,3.5,"Cost Analysis, Operations Control","Cost Analysis, Operations Control, Accounting, Cost Management",Fall/Spring,TBD,Industrial Engineering
IE339,Work Measurement and Standards,Measurement and evaluation of work methods for improvement.,3,"IE203 and IE224",Junior,4.0,"Work Measurement, Process Improvement","Work Measurement, Process Improvement, Motion Study, Time Study",Fall/Spring,TBD,Industrial Engineering
