id,title,description,credits,prerequisites,level,difficulty_rating,career_relevance,topics,semester_offered,professor,department
ECON201,Economics,Nature of market economy covering microeconomics demand theory production costs and macroeconomics national income monetary and fiscal policy employment and international trade,3,Not for MTSM majors,Undergraduate,Medium,High,"Market economy, Microeconomics, Macroeconomics, Monetary policy, International trade",Fall/Spring,TBD,Economics
ECON265,Microeconomics,Theory of price determination and resource allocation under various market structures including demand production costs factor pricing and market failure,3,MATH135/138/111,Undergraduate,Medium,High,"Price theory, Market structures, Resource allocation, Factor pricing, Market failure",Fall/Spring,TBD,Economics
ECON266,Macroeconomics,Theory of national income determination including aggregate production employment prices money and banking business cycles and monetary/fiscal policy,3,None,Undergraduate,Medium,High,"National income, Aggregate economics, Money and banking, Business cycles, Economic policy",Fall/Spring,TBD,Economics
ECON485,Special Topics in Economics,Study of new and advanced topics in economics and business applications not regularly covered in other courses,3,Variable,Undergraduate,High,Medium,"Advanced economics, Special topics, Current economic issues, Applied economics",Fall/Spring,TBD,Economics
ENTR210,Introduction to Entrepreneurship,Understanding processes to bring technological innovation to market through new ventures including opportunity recognition business model validation and strategic management,3,None,Undergraduate,Medium,High,"Entrepreneurship, Innovation, Business models, Venture management, Opportunity recognition",Fall/Spring,TBD,Entrepreneurship
ENTR320,Financing New Venture,Estimating funding requirements for innovation securing funding and tracking venture progress through financial metrics covering entire venture lifecycle,3,ENTR410 or ENTR210,Undergraduate,High,High,"Venture financing, Funding strategies, Financial metrics, Venture lifecycle, Investment",Fall/Spring,TBD,Entrepreneurship
ENTR330,Entrepreneurial Strategy,Integration of business knowledge for overall operations decisions market interactions and competitive strategy with focus on small business management,3,ENTR410 or ENTR210,Undergraduate,High,High,"Business strategy, Competitive analysis, Small business management, Strategic decisions",Fall/Spring,TBD,Entrepreneurship
ENTR440,Lean Startup Accelerator,Hands-on workshop for launching new business ideas using Lean Startup Methodology with customer interviews and acquisition,3,None,Undergraduate,Medium,High,"Lean startup, Customer development, Business launch, Startup methodology, Product validation",Fall/Spring,TBD,Entrepreneurship
ENTR485,Special Topics in Entrepreneurship,Study of new and advanced topics in innovation and entrepreneurship not regularly covered in other courses,3,Variable,Undergraduate,High,Medium,"Innovation, Advanced entrepreneurship, Special topics, Emerging trends",Fall/Spring,TBD,Entrepreneurship
ENTR490,Independent Study in Entrepreneurship,Self-paced study on entrepreneurship and organizational management aspects with faculty supervision,3,ENTR410 and faculty approval,Undergraduate,High,Medium,"Independent research, Entrepreneurship research, Faculty mentorship, Advanced topics",Fall/Spring,TBD,Entrepreneurship
FIN218,Financial Markets and Institutions,Overview of US financial markets and institutions including interest rates securities trading bonds stocks derivatives and government regulation,3,None,Undergraduate,Medium,High,"Financial markets, Banking institutions, Securities trading, Interest rates, Financial regulation",Fall/Spring,TBD,Finance
FIN306,Blockchain Technology for Business,Study of blockchain technology cryptocurrencies NFTs smart contracts and business applications in DeFi healthcare supply chain and other sectors,3,MGMT216 and FIN218,Undergraduate,High,High,"Blockchain technology, Cryptocurrencies, Smart contracts, DeFi, Business applications",Fall/Spring,TBD,Finance
