id,title,description,credits,prerequisites,level,difficulty_rating,career_relevance,topics,semester_offered,professor,department
IT101,Introduction to Information Technology,Foundations of IT including computer architecture hardware networking and software development from IT professional perspective.,3,None,Freshman,2.0,"Information Technology, IT Support, General Tech","Computer Architecture, Networking, Database Management, Software Development",Fall/Spring,TBD,Information Technology
IT114,Advanced Programming for Information Technology,Problem solving techniques and program design with IT-related applications including data structures client/server programming and recursion.,3,"CS113/CS115",Freshman,3.5,"IT Programming, Software Development","Data Structures, Client/Server Programming, Object-Oriented Programming, Recursion",Fall/Spring,TBD,Information Technology
IT120,Introduction to Network Technology,Basics of networking in modern operating system environment with emphasis on application and management of networking technology.,3,None,Freshman,3.0,"Network Administration, IT Infrastructure","OSI Model, Network Protocols, TCP/IP, Wireless Networks, Network Hardware",Fall/Spring,TBD,Information Technology
IT201,Information Design Techniques,Introduction to theory and practice of information design covering graphic design content design and multimedia development.,3,"CS100/CS113/CS115/BNFO135",Sophomore,3.0,"UI/UX Design, Multimedia Development","Information Design, Graphic Design, Usability, Multimedia, 3D Modeling",Fall/Spring,TBD,Information Technology
IT202,Internet Applications,Core web technologies for web-based multi-tier software architecture including HTML CSS JavaScript PHP and database management.,3,"CS100/CS113/CS115",Sophomore,3.5,"Web Development, Full-Stack Development","HTML, CSS, JavaScript, PHP, SQL, Web Servers, AJAX",Fall/Spring,TBD,Information Technology
IT220,Wireless Networks,Applied methods tools and technologies for designing and implementing wireless networks with practical experience.,3,"IT120/CS356",Sophomore,3.5,"Wireless Networking, Network Engineering","Wireless Technology, Network Design, Wireless Security, Network Implementation",Fall/Spring,TBD,Information Technology
IT230,Computer and Network Security,Computer security evolution threats attacks mechanisms and protection methods via cryptography and security protocols.,3,"IT120/CS356",Sophomore,4.0,"Cybersecurity, Network Security","Computer Security, Cryptography, Network Protection, Security Protocols, Threat Analysis",Fall/Spring,TBD,Information Technology
IT240,Scripting for System Administration,Task automation using shell scripting in multi-OS environment with Shell and Perl programming languages.,3,"CS113/CS115",Sophomore,3.5,"System Administration, Automation","Shell Scripting, Perl Programming, System Automation, Administration Functions",Fall/Spring,TBD,Information Technology
IT265,Game Architecture and Design,Core concepts and design methodologies for designing and developing games and entertainment software.,3,"CS100/CS113/CS115/BNFO135",Sophomore,3.0,"Game Development, Entertainment Software","Game Design, Game Architecture, Entertainment Software Development",Fall/Spring,TBD,Information Technology
IT266,Game Modification Development,Basic concepts of game programming including reprogramming professional game engines using C programming extensively.,3,"CS113/CS115",Sophomore,3.5,"Game Development, Game Programming","Game Programming, C Programming, Game Engine Modification, Game Development",Fall/Spring,TBD,Information Technology
IT270,3D Modeling and Animation,Concepts of 3D modeling and animation using industry standard tools for mesh modeling texturing rigging and animation.,3,"CS100/CS113/CS115/BNFO135",Sophomore,3.5,"3D Modeling, Animation, Digital Media","3D Modeling, Animation, Texturing, Character Rigging, Digital Content Creation",Fall/Spring,TBD,Information Technology
IT286,Foundations of Game Production,Tools and design methodologies for electronic game production focusing on scripting level design and content control.,3,"CS100/CS113/CS115/BNFO135",Sophomore,3.0,"Game Production, Game Design","Game Production, Level Design, Game Scripting, Content Control, Game Development",Fall/Spring,TBD,Information Technology
IT302,Advanced Internet Applications,Advanced web development concepts and tools including front-end frameworks cloud services and NoSQL databases.,3,"IT202/IS218",Junior,4.0,"Advanced Web Development, Full-Stack Development","Angular, React, Vue, Express, NoSQL Databases, Cloud Services",Fall/Spring,TBD,Information Technology
IT303,Model View Controller Software Architecture,MVC software architecture for separating application logic interface design and system views for effective development.,3,"IT202",Junior,4.0,"Software Architecture, MVC Development","MVC Architecture, Software Design Patterns, Test-Driven Development, Web Frameworks",Fall/Spring,TBD,Information Technology
IT310,E-Commerce Technology,Technologies relevant to electronic commerce including networking web authoring system security databases and transaction processing.,3,None,Junior,3.5,"E-Commerce, Digital Business","E-Commerce Systems, Electronic Transactions, Web Security, Digital Payment Systems",Fall/Spring,TBD,Information Technology
IT320,Virtual Instrumentation,Basics of virtual instrumentation using IEEE GPIB RS232 interfaces and data acquisition boards with LABVIEW platform.,3,"CS113/CS115",Junior,4.0,"Instrumentation, Data Acquisition","Virtual Instrumentation, LABVIEW, Data Acquisition, Instrument Control",Fall/Spring,TBD,Information Technology
IT330,Computer Forensic,Obtaining and analyzing digital information from computers used in illegal actions for use as evidence in legal cases.,3,"IT120/CS356",Junior,4.0,"Digital Forensics, Cybersecurity","Computer Forensics, Digital Evidence, Cyber Crime Investigation, Legal Technology",Fall/Spring,TBD,Information Technology
IT331,Privacy and Information Technology,Legal social and technical issues involving information privacy including privacy law surveillance and business records.,3,"CS100/CS113/CS115/BNFO135",Junior,3.0,"Privacy Law, Information Security","Information Privacy, Privacy Law, Data Protection, Government Surveillance",Fall/Spring,TBD,Information Technology
IT332,Digital Crime,Multidisciplinary overview of technology use by criminals covering historical legal technological and sociological aspects of cybercrime.,3,"CS100/CS113/CS115/BNFO135",Junior,3.0,"Cybercrime, Digital Forensics","Cybercrime, White Collar Crime, Criminal Justice, Technology and Crime",Fall/Spring,TBD,Information Technology
IT335,Introduction to .NET Framework,Introduction to .NET Framework supporting multiple programming languages using C# for problem solving and system development.,3,"IT202",Junior,3.5,".NET Development, Software Development","C# Programming, .NET Framework, Object-Oriented Programming, Software Development",Fall/Spring,TBD,Information Technology
