id,title,description,credits,prerequisites,level,difficulty_rating,career_relevance,topics,semester_offered,professor,department
ET400,Professional Engineer (PE) Preparation,Preparation for the Professional Engineer (PE) exam covering fundamental engineering principles and exam strategies,3,Senior standing,Undergraduate,Medium,High,"Professional licensing, Engineering fundamentals, Exam preparation",Fall/Spring,TBD,Engineering Technology
MECH310,Thermodynamics I,Introduction to classical thermodynamics including the first and second laws of thermodynamics and their applications,3,PHYS111,Undergraduate,High,High,"Thermodynamics, Energy systems, Heat transfer",Fall,TBD,Mechanical Engineering
MECH311,Thermodynamics II,Advanced thermodynamics including gas and vapor cycles power and refrigeration cycles and combustion,3,MECH310,Undergraduate,High,High,"Advanced thermodynamics, Power cycles, Refrigeration",Spring,TBD,Mechanical Engineering
MECH312,Heat Transfer,Principles of heat transfer including conduction convection and radiation with applications to engineering systems,3,MECH310,Undergraduate,High,High,"Heat transfer, Thermal analysis, Engineering applications",Fall,TBD,Mechanical Engineering
MECH313,Fluid Mechanics,Fundamental principles of fluid statics and dynamics including flow in pipes and over bodies,3,MATH211,Undergraduate,High,High,"Fluid mechanics, Flow analysis, Hydraulics",Spring,TBD,Mechanical Engineering
MECH314,Machine Design I,Introduction to machine design including stress analysis failure theories and design of machine elements,3,CE240,Undergraduate,High,High,"Machine design, Stress analysis, Component design",Fall,TBD,Mechanical Engineering
MECH315,Machine Design II,Advanced machine design including design of gears bearings springs and other mechanical components,3,MECH314,Undergraduate,High,High,"Advanced machine design, Mechanical components, Design optimization",Spring,TBD,Mechanical Engineering
MECH316,Dynamics of Machinery,Analysis of motion and forces in mechanical systems including kinematics and kinetics of machines,3,PHYS111,Undergraduate,High,Medium,"Machinery dynamics, Kinematics, Kinetics",Fall,TBD,Mechanical Engineering
MECH317,Vibrations,Introduction to mechanical vibrations including free and forced vibrations of single and multi-degree systems,3,MATH211,Undergraduate,High,Medium,"Mechanical vibrations, Dynamic analysis, System response",Spring,TBD,Mechanical Engineering
MECH318,Control Systems,Introduction to automatic control systems including feedback control and system stability analysis,3,MATH211,Undergraduate,High,High,"Control systems, Feedback control, System stability",Fall,TBD,Mechanical Engineering
MECH319,Manufacturing Processes,Introduction to manufacturing processes including machining forming and joining of materials,3,Junior standing,Undergraduate,Medium,High,"Manufacturing, Machining, Material processing",Spring,TBD,Mechanical Engineering
MECH320,Materials Engineering,Properties and selection of engineering materials including metals polymers ceramics and composites,3,CHEM126,Undergraduate,Medium,High,"Materials science, Material properties, Material selection",Fall,TBD,Mechanical Engineering
