id,title,description,credits,prerequisites,level,difficulty_rating,career_relevance,topics,semester_offered,professor,department
MNET215,Materials and Processes for Technology,Introduction to applications of materials manufacturing processes and metrology including engineering materials heat treatment fabrication and finishing processes,3,MET103 and CHEM301 or CHEM125/125A or CHEM121/125A,Undergraduate,Medium,High,"Materials science, Manufacturing processes, Metrology",Fall/Spring,TBD,Manufacturing Engineering Technology
MNET300,Concepts In Machining,Applications in machining of various materials including speeds and feeds calculations tooling concepts gaging techniques and prototype construction,3,MET103 and Junior standing,Undergraduate,Medium,High,"Machining, Tooling, Manufacturing",Fall/Spring,TBD,Manufacturing Engineering Technology
MNET303,Advanced Techniques in CAD/CAM,Hands-on experience with CAD/CAM systems focusing on object representation and manipulation with laboratory experiences,3,MET103,Undergraduate,Medium,High,"CAD/CAM, Computer-aided manufacturing, Design automation",Fall/Spring,TBD,Manufacturing Engineering Technology
MNET315,Industrial Statistics,Introduction to statistics covering data collection analysis and presentation including probability control charts correlation regression and hypothesis testing,3,MATH138 or MATH111,Undergraduate,Medium,High,"Statistics, Quality control, Data analysis",Fall/Spring,TBD,Manufacturing Engineering Technology
MNET405,Numerical Control Machine Tools,Fundamental concepts of numerical control systems including mill and lathe programming techniques sheet metal processing and CNC economics,3,ME215 and MNET303,Undergraduate,High,High,"CNC programming, Numerical control, Manufacturing automation",Fall/Spring,TBD,Manufacturing Engineering Technology
MNET414,Industrial Cost Analysis,Introduction to general costing techniques and time value of money concepts for equipment justification design selection and fabrication costs,3,None,Undergraduate,Medium,High,"Cost analysis, Economic evaluation, Financial analysis",Fall/Spring,TBD,Manufacturing Engineering Technology
MNET420,Quality Systems,Introduction to quality control emphasizing design quality total quality management and statistical process control including quality economics ISO reliability and service quality,3,MNET315,Undergraduate,Medium,High,"Quality control, Total quality management, Statistical process control",Fall/Spring,TBD,Manufacturing Engineering Technology
MNET421,Contracts & Specs,Study of contracts and specifications in manufacturing and engineering contexts,3,None,Undergraduate,Medium,Medium,"Contracts, Specifications, Legal aspects",Fall/Spring,TBD,Manufacturing Engineering Technology
MNET422,Tool Design,Introduction to cutting tool design with emphasis on speeds feeds and power requirements covering design of jigs fixtures punch and dies and gaging tooling,3,MET237 and MNET300 and MNET303,Undergraduate,High,High,"Tool design, Jigs and fixtures, Manufacturing tooling",Fall/Spring,TBD,Manufacturing Engineering Technology
MNET424,Facilities Planning,Operational principles and techniques of plant design including plant organization location layout materials handling production planning and control,2,MNET318,Undergraduate,Medium,High,"Facilities planning, Plant layout, Production control",Fall/Spring,TBD,Manufacturing Engineering Technology
MNET491,Special Projects I,Special projects for MNET students with subject matter arranged by instructor and approved by program coordinator,1,None,Undergraduate,Medium,Medium,"Independent study, Special projects, Research",Fall/Spring,TBD,Manufacturing Engineering Technology
MNET492,Special Projects II,Special projects for MNET students with subject matter arranged by instructor and approved by program coordinator,2,None,Undergraduate,Medium,Medium,"Independent study, Special projects, Research",Fall/Spring,TBD,Manufacturing Engineering Technology
MNET493,Special Projects III,Special projects for MNET students with subject matter arranged by instructor and approved by program coordinator,3,None,Undergraduate,Medium,Medium,"Independent study, Special projects, Research",Fall/Spring,TBD,Manufacturing Engineering Technology
MNET495,Cooperative Experience II,Major-related work experience as co-op/intern with mandatory seminars and completion of requirements including report and/or project,3,MNET395 and departmental approval,Undergraduate,Medium,High,"Cooperative education, Industry experience, Professional development",Fall/Spring,TBD,Manufacturing Engineering Technology
MTEN101,Introduction to Materials Engineering,Introduction to materials engineering field including program curriculum professional societies undergraduate research and career pathways with faculty lectures and laboratory tours,1,None,Undergraduate,Low,Medium,"Materials engineering introduction, Career exploration, Research opportunities",Fall,TBD,Materials Engineering
