id,title,description,credits,prerequisites,level,difficulty_rating,career_relevance,topics,semester_offered,professor,department
SDET101,Fundamentals of Software and Data Technologies,Introduction to modern software and data technologies emphasizing Python programming data collection analysis and AI fundamentals including ethics and machine learning basics,3,None,Undergraduate,Medium,High,"Python programming, Data analysis, AI fundamentals, Tech ethics",Fall/Spring,TBD,Software and Data Engineering Technology
SDET102,Applications of Software Engineering Technology,Practical application of software engineering tools and methodologies with hands-on Python development for industry solutions including deep learning and natural language processing,3,SDET101 or CS106,Undergraduate,Medium,High,"Software engineering, Python applications, Deep learning, NLP",Fall/Spring,TBD,Software and Data Engineering Technology
SDET201,Data Engineering,Full lifecycle of large-scale data handling including modeling management real-time processing warehousing ETL pipelines data quality and cloud data services,3,SDET102,Undergraduate,High,High,"Data engineering, ETL pipelines, Big data, Cloud services",Fall/Spring,TBD,Software and Data Engineering Technology
SDET310,Computer Design Fundamentals for Software and Data Engineering Technology,Boolean algebra gates combinational and sequential logic memory microprocessor and I/O control ICs with sequential bus architecture,3,None,Undergraduate,High,Medium,"Boolean algebra, Digital logic, Computer architecture, Microprocessors",Fall/Spring,TBD,Software and Data Engineering Technology
SDET315,Computer Architecture for Software and Data Engineering Technology,Von Neumann computer architecture including processor memory and I/O organization with fundamentals of assembly language programming,3,None,Undergraduate,High,Medium,"Computer architecture, Assembly language, Processor design, Memory organization",Fall/Spring,TBD,Software and Data Engineering Technology
SDET325,Medical Informatics Technology,Use of information technology in health and human services including integrated medical record systems remote monitoring and home automation for seniors,3,Junior standing,Undergraduate,Medium,High,"Medical informatics, Healthcare IT, Remote monitoring, Health systems",Fall/Spring,TBD,Software and Data Engineering Technology
SDET326,Electronic Medical Record Design,Management of medical records in various healthcare settings with EMR adoption implementation planning and customization techniques,3,SDET101 or CS100/101/106/115 or BME210,Undergraduate,Medium,High,"Electronic medical records, Healthcare systems, EMR implementation, Medical data management",Fall/Spring,TBD,Software and Data Engineering Technology
SDET335,Networks Applications for Software and Data Engineering Technology I,Common gateway interface servers network protocols network administration and server/network performance optimization,3,CS100/106/113/115 or SDET101,Undergraduate,Medium,High,"Network protocols, Server administration, CGI, Network performance",Fall/Spring,TBD,Software and Data Engineering Technology
SDET341,Visual Basic.NET for Engineering Technology,Creation of Windows applications with text controls menus graphics event detection file management and object-oriented programming techniques,3,CS100/106/113/115 or SDET101,Undergraduate,Medium,Medium,"Visual Basic.NET, Windows programming, Object-oriented programming, GUI development",Fall/Spring,TBD,Software and Data Engineering Technology
SDET345,Networks Applications for Software and Data Engineering Technology II,Advanced network topics including network security database implementations and scaling for enterprise applications,3,SDET335,Undergraduate,High,High,"Network security, Database implementation, System scaling, Enterprise networks",Fall/Spring,TBD,Software and Data Engineering Technology
