id,title,description,credits,prerequisites,level,difficulty_rating,career_relevance,topics,semester_offered,professor,department
AS111,Department of the Air Force Heritage and Values I,Survey course designed to introduce students to Department of the Air Force and provide overview of basic characteristics missions communications and organization of Air and Space Forces.,1,None,Freshman,2.0,"Military Service, Leadership","Air Force, Military Organization, Leadership, Heritage",Fall/Spring,TBD,Aerospace Studies
AS112,Department of the Air Force Heritage and Values II,Survey course designed to introduce students to Department of the Air Force and provide overview of basic characteristics missions communications and organization of Air and Space Forces.,1,"AS111 or Professor Approval",Freshman,2.0,"Military Service, Leadership","Air Force, Military Organization, Communications, Space Forces",Spring,TBD,Aerospace Studies
AS221,Team and Leadership Fundamentals I,Provides fundamental understanding of both leadership and team building designed to prepare students for AFROTC field training and leadership positions.,1,"AS112 or Professor Approval",Sophomore,2.5,"Military Leadership, Team Management","Leadership, Team Building, Military Training, AFROTC",Fall,TBD,Aerospace Studies
AS222,Team and Leadership Fundamentals II,Provides fundamental understanding of both leadership and team building designed to prepare students for AFROTC field training and leadership positions.,1,"AS221 or Professor Approval",Sophomore,2.5,"Military Leadership, Team Management","Leadership, Team Building, Field Training, Military Leadership",Spring,TBD,Aerospace Studies
AS301,Aerospace Independent Study,Independent study in aerospace topics with individual guidance and supervision.,3,None,Junior,3.0,"Independent Study, Aerospace Research","Independent Study, Aerospace Research, Self-Directed Learning",Fall/Spring,TBD,Aerospace Studies
AS333,Leading People & Effective Communication,Teaches cadets advanced skills and knowledge in management and leadership with special emphasis on enhancing leadership skills and communication.,3,"AS222 or Professor Approval",Junior,3.0,"Leadership, Management, Communication","Leadership Skills, Communication, Management Techniques, Military Leadership",Fall,TBD,Aerospace Studies
AS334,Leading People & Effective Communication II,Continues to teach cadets advanced skills and knowledge in management and leadership with special emphasis on enhancing leadership skills and communication.,3,"AS333 or Professor Approval",Junior,3.0,"Leadership, Management, Communication","Advanced Leadership, Communication Skills, Management, Military Leadership",Spring,TBD,Aerospace Studies
AS335,Leadership Lab,Leadership laboratory component providing hands-on leadership experience and practical application.,0,None,Junior,2.0,"Leadership Practice, Military Training","Leadership Lab, Practical Leadership, Military Training",Fall/Spring,TBD,Aerospace Studies
AS336,POC Leadership Lab,Program of Cadets leadership laboratory providing advanced leadership experience and command responsibility.,0,None,Senior,2.5,"Advanced Leadership, Command Training","Advanced Leadership Lab, Command Training, Leadership Development",Fall/Spring,TBD,Aerospace Studies
AS401,Aerospace Independent Study,Advanced independent study in aerospace topics with individual guidance and supervision.,3,None,Senior,3.5,"Independent Study, Advanced Aerospace Research","Advanced Independent Study, Aerospace Research, Senior Project",Fall/Spring,TBD,Aerospace Studies
